benchmark                            GS_pct  GS_NOHOTROW_pct  DYMPL_pct  FAPS_pct  RLPAGE_pct  best_policy  best_pct
-----------------------------------  ------  ---------------  ---------  --------  ----------  -----------  --------
crono/Community/higgs                0.98    0.04             -4.01      0.00      -0.39       GS           0.98    
crono/Connected-Components/higgs     1.92    0.52             -3.06      0.00      -0.36       GS           1.92    
crono/DFS/higgs                      1.11    0.89             -1.92      0.00      -0.47       GS           1.11    
crono/PageRank/higgs                 10.32   8.38             9.82       2.18      -0.25       GS           10.32   
crono/PageRank/roadNet-CA            -1.08   -3.94            -4.02      0.00      -1.37       FAPS         0.00    
crono/PageRank/soc-pokec             8.90    7.56             8.62       5.14      -0.39       GS           8.90    
crono/SSSP/higgs                     1.28    0.91             -3.10      0.00      -0.37       GS           1.28    
crono/Triangle-Counting/higgs        0.73    -1.48            -3.69      0.04      -0.26       GS           0.73    
crono/Triangle-Counting/roadNet-CA   -0.97   -5.02            -2.81      0.00      -0.92       FAPS         0.00    
graph500/s16-e10                     -0.09   -4.32            -2.35      -0.08     -1.07       FAPS         -0.08   
hashjoin/hj-2-NPO_st                 10.60   3.27             9.33       0.89      0.04        GS           10.60   
hashjoin/hj-8-NPO_st                 6.82    5.79             6.82       0.08      0.08        GS           6.82    
hpcc/RandAcc                         11.48   12.06            12.50      12.34     0.28        DYMPL        12.50   
hpcc/RandAcc_LCG                     7.36    7.70             8.17       8.07      0.27        DYMPL        8.17    
ligra/BC/Amazon0312                  -0.36   -5.76            -2.42      0.00      -0.62       FAPS         0.00    
ligra/BC/soc-pokec                   -0.21   -0.19            -0.79      0.00      -0.17       FAPS         0.00    
ligra/BFS-Bitvector/soc-pokec        -0.17   -3.27            -1.55      0.00      -1.33       FAPS         0.00    
ligra/BFSCC/soc-pokec-short          -0.18   -5.62            -2.80      0.00      -0.58       FAPS         0.00    
ligra/BellmanFord/Amazon0312         -0.20   -6.87            -2.69      -0.01     -0.46       FAPS         -0.01   
ligra/CF/higgs                       1.65    -1.62            -4.24      0.00      -0.44       GS           1.65    
ligra/CF/roadNet-CA                  -0.11   -6.69            -5.84      0.00      -1.57       FAPS         0.00    
ligra/CF/soc-pokec                   2.85    0.16             -1.04      0.00      -0.22       GS           2.85    
ligra/Components-Shortcut/soc-pokec  1.89    -3.32            -0.32      -0.14     -0.79       GS           1.89    
ligra/Components/soc-pokec           3.03    -3.00            0.42       0.03      -0.54       GS           3.03    
ligra/MIS/soc-pokec                  0.55    -4.58            -1.26      -0.01     -0.48       GS           0.55    
ligra/PageRank/higgs                 5.71    0.43             2.05       -0.02     -0.25       GS           5.71    
ligra/PageRank/roadNet-CA            0.02    -4.38            -2.72      0.00      -0.81       GS           0.02    
ligra/PageRank/soc-pokec             8.66    6.00             7.65       4.11      0.10        GS           8.66    
ligra/PageRankDelta/Amazon0312       0.15    -7.48            -2.10      0.00      -0.76       GS           0.15    
ligra/PageRankDelta/higgs            0.34    -10.51           -2.29      0.00      -0.95       GS           0.34    
ligra/PageRankDelta/roadNet-CA       -0.30   -3.17            -2.16      0.00      -1.12       FAPS         0.00    
ligra/PageRankDelta/soc-pokec        2.16    -1.57            -0.41      -0.67     -0.21       GS           2.16    
